﻿字段,年度,数值,单位,文件名,披露日期,PDF页码,印刷页码,原文或表格名称
营业收入,2025,"$337,238,620.57 ",元,标准股份2025年报,20260428,64,64,合并利润表
营业收入,2024,"$446,351,660.77 ",元,标准股份2025年报,20260428,64,64,合并利润表-上期数
营业收入,2023,"$506,925,296.14 ",元,标准股份2023年报,20240418,70,70,合并利润表
营业收入,2022,"$1,050,779,931.05 ",元,标准股份2023年报,20240418,70,70,合并利润表-上期数
应收账款,2025,"$176,388,063.66 ",元,标准股份2025年报,20260428,59,59,合并资产负债表
应收账款,2024,"$282,866,689.51 ",元,标准股份2025年报,20260428,59,59,合并资产负债表-上期数
应收账款,2023,"$329,742,664.91 ",元,标准股份2023年报,20240418,66,66,合并资产负债表
应收账款,2022,"$439,176,425.31 ",元,标准股份2023年报,20240418,66,66,合并资产负债表-上期数
,,,,,,,,
"本公司在国内销售的缝制机械产品，以产品发运并取得客户签收单后确认销售收入。
本公司在国外销售的缝制机械产品，以产品发运并办理完毕出口报关手续，取得提单时确认销售收入。",,,,,,91,91,公司基本情况-34、收入
